n_estimators,max_samples,threshold_percentile,threshold,precision,recall,f1,false_positive_rate,accuracy,train_flagged_ratio
100,256,92.5,0.5687395686335041,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.076158940397351
100,256,95.0,0.5727859365422475,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.052980132450331126
100,256,97.0,0.5797346371036193,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.033112582781456956
200,auto,90.0,0.5513265079350341,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.10264900662251655
200,256,90.0,0.5513265079350341,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.10264900662251655
300,auto,90.0,0.549773731985997,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.10264900662251655
300,256,90.0,0.549773731985997,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.10264900662251655
100,auto,88.0,0.5342183717570408,0.4444444444444444,1.0,0.6153846153846154,0.07692307692307693,0.927536231884058,0.12251655629139073
100,256,88.0,0.5342183717570408,0.4444444444444444,1.0,0.6153846153846154,0.07692307692307693,0.927536231884058,0.12251655629139073
300,auto,88.0,0.5330732466996063,0.4444444444444444,1.0,0.6153846153846154,0.07692307692307693,0.927536231884058,0.12251655629139073
300,256,88.0,0.5330732466996063,0.4444444444444444,1.0,0.6153846153846154,0.07692307692307693,0.927536231884058,0.12251655629139073
100,128,88.0,0.5610931956787699,0.36363636363636365,1.0,0.5333333333333333,0.1076923076923077,0.8985507246376812,0.12251655629139073
100,128,90.0,0.5616569289235441,0.36363636363636365,1.0,0.5333333333333333,0.1076923076923077,0.8985507246376812,0.12251655629139073
200,128,88.0,0.5592167619160516,0.36363636363636365,1.0,0.5333333333333333,0.1076923076923077,0.8985507246376812,0.12251655629139073
200,128,90.0,0.5669897782976314,0.36363636363636365,1.0,0.5333333333333333,0.1076923076923077,0.8985507246376812,0.11920529801324503
300,128,88.0,0.5647168809239178,0.36363636363636365,1.0,0.5333333333333333,0.1076923076923077,0.8985507246376812,0.12251655629139073
300,128,90.0,0.5680642157139352,0.36363636363636365,1.0,0.5333333333333333,0.1076923076923077,0.8985507246376812,0.11920529801324503
200,auto,88.0,0.5329827588276812,0.2857142857142857,1.0,0.4444444444444444,0.15384615384615385,0.855072463768116,0.1456953642384106
200,256,88.0,0.5329827588276812,0.2857142857142857,1.0,0.4444444444444444,0.15384615384615385,0.855072463768116,0.1456953642384106
